00:25:51.481:DEBUG:exporter: got next (rank 1), qsize 12, len(players) = 0
00:25:51.482:DEBUG:exporter: got next (rank 2), qsize 11, len(players) = 1
00:25:51.483:DEBUG:exporter: got next (rank 3), qsize 10, len(players) = 2
00:25:51.483:DEBUG:exporter: got next (rank 4), qsize 9, len(players) = 3
00:25:51.483:DEBUG:exporter: got next (rank 5), qsize 8, len(players) = 4
00:25:51.483:DEBUG:exporter: got next (rank 6), qsize 7, len(players) = 5
00:25:51.484:DEBUG:exporter: got next (rank 7), qsize 6, len(players) = 6
00:25:51.484:DEBUG:exporter: got next (rank 8), qsize 5, len(players) = 7
00:25:51.484:DEBUG:exporter: got next (rank 9), qsize 4, len(players) = 8
00:25:51.484:DEBUG:exporter: got next (rank 10), qsize 3, len(players) = 9
00:25:51.484:DEBUG:exporter: got next (rank 11), qsize 2, len(players) = 10
00:25:51.485:DEBUG:exporter: got next (rank 12), qsize 1, len(players) = 11
00:25:51.485:DEBUG:exporter: got next (rank 13), qsize 0, len(players) = 12
00:25:51.660:DEBUG:exporter: got next (rank 14), qsize 2, len(players) = 13
00:25:51.661:DEBUG:exporter: got next (rank 15), qsize 1, len(players) = 14
00:25:51.661:DEBUG:exporter: got next (rank 16), qsize 0, len(players) = 15
00:25:51.761:DEBUG:exporter: got next (rank 17), qsize 0, len(players) = 16
00:25:51.923:DEBUG:exporter: got next (rank 18), qsize 6, len(players) = 17
00:25:51.923:DEBUG:exporter: got next (rank 19), qsize 5, len(players) = 18
00:25:51.924:DEBUG:exporter: got next (rank 20), qsize 4, len(players) = 19
00:25:51.924:DEBUG:exporter: got next (rank 21), qsize 3, len(players) = 20
00:25:51.924:DEBUG:exporter: got next (rank 22), qsize 2, len(players) = 21
00:25:51.924:DEBUG:exporter: got next (rank 23), qsize 1, len(players) = 22
00:25:51.925:DEBUG:exporter: got next (rank 24), qsize 0, len(players) = 23
00:25:51.969:DEBUG:exporter: got next (rank 25), qsize 5, len(players) = 24
00:25:51.969:DEBUG:exporter: got next (rank 26), qsize 4, len(players) = 25
00:25:51.970:DEBUG:exporter: got next (rank 27), qsize 3, len(players) = 26
00:25:51.970:DEBUG:exporter: got next (rank 28), qsize 2, len(players) = 27
00:25:51.970:DEBUG:exporter: got next (rank 29), qsize 1, len(players) = 28
00:25:51.970:DEBUG:exporter: got next (rank 30), qsize 0, len(players) = 29
00:25:52.103:DEBUG:exporter: got next (rank 31), qsize 0, len(players) = 30
00:25:52.105:DEBUG:exporter: got next (rank 32), qsize 0, len(players) = 31
00:25:52.215:DEBUG:exporter: got next (rank 33), qsize 0, len(players) = 32
00:25:52.376:DEBUG:exporter: got next (rank 34), qsize 3, len(players) = 33
00:25:52.376:DEBUG:exporter: got next (rank 35), qsize 2, len(players) = 34
00:25:52.376:DEBUG:exporter: got next (rank 36), qsize 1, len(players) = 35
00:25:52.376:DEBUG:exporter: got next (rank 37), qsize 0, len(players) = 36
00:25:52.419:DEBUG:exporter: got next (rank 38), qsize 8, len(players) = 37
00:25:52.420:DEBUG:exporter: got next (rank 39), qsize 7, len(players) = 38
00:25:52.420:DEBUG:exporter: got next (rank 40), qsize 6, len(players) = 39
00:25:52.420:DEBUG:exporter: got next (rank 41), qsize 5, len(players) = 40
00:25:52.421:DEBUG:exporter: got next (rank 42), qsize 4, len(players) = 41
00:25:52.421:DEBUG:exporter: got next (rank 43), qsize 3, len(players) = 42
00:25:52.421:DEBUG:exporter: got next (rank 44), qsize 2, len(players) = 43
00:25:52.421:DEBUG:exporter: got next (rank 45), qsize 1, len(players) = 44
00:25:52.422:DEBUG:exporter: got next (rank 46), qsize 0, len(players) = 45
00:25:52.559:DEBUG:exporter: got next (rank 47), qsize 1, len(players) = 46
00:25:52.560:DEBUG:exporter: got next (rank 48), qsize 0, len(players) = 47
